,Unnamed: 0,타입,검색어,영상,제목,업로더,조회수,업로드,구독자,유저,내용,좋아요,시각,commentMonth,commentYear,views,likes
31771,6,3,metaverse privacy issue,/watch?v=rtLTZUaMSDQ,Trapped in the Metaverse: Here’s What 24 Hours in VR Feels Like | WSJ,/c/wsj,4.6M views,10 months ago,0,"
              arip mk
            ",The world has literally started feeling like a sci-fi movie.,"
    6.1K
  ",10 months ago,1,0,4600000,6100
21893,48,3,metaverse privacy issue,/watch?v=bolyiGMcjBs,Why You Should Be Worried About Facebook's Metaverse | System Error,/c/VICENews,5.8M views,10 months ago,0,"
              JP2GiannaT
            ",I love how literally EVERYONE thinks this a bad idea.,"
    5.8K
  ",9 months ago,9,0,5800000,5800
24267,13,3,metaverse privacy issue,/watch?v=jUfCr3hz9FE,Microsoft Just KILLED Zuck's Metaverse,/c/JohnCooganPlus,7.5M views,8 months ago,0,"
              Mr. Oppenthunder
            ",When everyone switches to studio apartments so they can afford mansions and farms in the metaverse I'm going to buy all the real life mansions and farms.,"
    5.7K
  ",7 months ago,7,0,7500000,5700
31824,59,3,metaverse privacy issue,/watch?v=rtLTZUaMSDQ,Trapped in the Metaverse: Here’s What 24 Hours in VR Feels Like | WSJ,/c/wsj,4.6M views,10 months ago,0,"
              Daniel Cai
            ",I don't want to be trapped in Facebookland. I just want to hang out with my friends in the real world and chill.,"
    5.6K
  ",10 months ago,1,0,4600000,5600
21881,36,3,metaverse privacy issue,/watch?v=bolyiGMcjBs,Why You Should Be Worried About Facebook's Metaverse | System Error,/c/VICENews,5.8M views,10 months ago,0,"
              world2tend
            ","I have stop using Facebook 6 years ago. The reason is, there is so much hate being spread around unnecessarily, making my life stressful. You guys should do it too.","
    5.4K
  ",10 months ago (edited),1,0,5800000,5400
31812,47,3,metaverse privacy issue,/watch?v=rtLTZUaMSDQ,Trapped in the Metaverse: Here’s What 24 Hours in VR Feels Like | WSJ,/c/wsj,4.6M views,10 months ago,0,"
              A girl has no name
            ",I’ll never understand this obsession of finding a new world for humans to escape to instead of just collectively working to fix the one we already have.,"
    5.4K
  ",9 months ago,9,0,4600000,5400
21909,64,3,metaverse privacy issue,/watch?v=bolyiGMcjBs,Why You Should Be Worried About Facebook's Metaverse | System Error,/c/VICENews,5.8M views,10 months ago,0,"
              Alexander Supertramp
            ","As someone who doesn't use any social media other than YouTube, I'm not sure why people can't pull themselves away from the thing that is so obviously ruining their lives. Not that YouTube is innocent in all this either.","
    5.4K
  ",10 months ago,1,0,5800000,5400
31818,53,3,metaverse privacy issue,/watch?v=rtLTZUaMSDQ,Trapped in the Metaverse: Here’s What 24 Hours in VR Feels Like | WSJ,/c/wsj,4.6M views,10 months ago,0,"
              smith
            ",Ever since 2020 the world has felt like a movie or one long black mirror episode,"
    5.1K
  ",10 months ago,1,0,4600000,5100
21875,30,3,metaverse privacy issue,/watch?v=bolyiGMcjBs,Why You Should Be Worried About Facebook's Metaverse | System Error,/c/VICENews,5.8M views,10 months ago,0,"
              Domical425
            ","I think the simple solution is to just ignore it. No matter how many uses Meta puts into the Metaverse, no matter how good they make themselves look, no matter how much your friends are doing stuff in the Metaverse everyday. Just don't. Pretend it doesn't exist. Because we all know the moment we dip our toes into it, it'll immediately consume us, just like how social media did.","
    5K
  ",9 months ago (edited),9,0,5800000,5000
21887,42,3,metaverse privacy issue,/watch?v=bolyiGMcjBs,Why You Should Be Worried About Facebook's Metaverse | System Error,/c/VICENews,5.8M views,10 months ago,0,"
              Hades
            ","No matter what you say about the Metaverse (scary as name as well) you will never, NEVER get the same feeling of climbing a mountain in real life or meeting with friends in a restaurant. Some things technology cannot replicate are real feelings that make us happy.","
    5K
  ",9 months ago,9,0,5800000,5000
26939,79,3,metaverse privacy issue,/watch?v=kVOTPAxrrP4,MIT Has Predicted that Society Will Collapse in 2040 | Economics Explained,/c/EconomicsExplained,10M views,10 months ago,0,"
              Investment Joy
            ","Would love to see a comparison of the various economic doomsday theories of the 50s-80s and see how they've fared. I remember hearing my parents and their friends talking about them in the early 90s, and yet here we are.","
    5K
  ",10 months ago,1,0,10000000,5000
26915,55,3,metaverse privacy issue,/watch?v=kVOTPAxrrP4,MIT Has Predicted that Society Will Collapse in 2040 | Economics Explained,/c/EconomicsExplained,10M views,10 months ago,0,"
              Faethe
            ",My experience is that there's never been a group of science types as bad at prediction as economists.,"
    4.8K
  ",9 months ago,9,0,10000000,4800
29619,456,3,metaverse privacy issue,/watch?v=RgJwPco3wew,The Metaverse could be a problem.,/c/Mrwhosetheboss,4.2M views,10 months ago,0,"
              StingrayC267
            ",So is VR/AR the bridge between reality and Metaverse?,"
    4.8K
  ",10 months ago,1,0,4200000,4800
21897,52,3,metaverse privacy issue,/watch?v=bolyiGMcjBs,Why You Should Be Worried About Facebook's Metaverse | System Error,/c/VICENews,5.8M views,10 months ago,0,"
              Nicole Necsefor
            ","my favourite psychology prof once said, ""our adaptability will be our downfall,"" and that has always really stuck with me.","
    4.8K
  ",10 months ago,1,0,5800000,4800
24392,138,3,metaverse privacy issue,/watch?v=jUfCr3hz9FE,Microsoft Just KILLED Zuck's Metaverse,/c/JohnCooganPlus,7.5M views,8 months ago,0,"
              dude Lange
            ",This guy is actually smart. Not just a curator of news and events. He actually understands business strategy.,"
    4.7K
  ",8 months ago,8,0,7500000,4700
31800,35,3,metaverse privacy issue,/watch?v=rtLTZUaMSDQ,Trapped in the Metaverse: Here’s What 24 Hours in VR Feels Like | WSJ,/c/wsj,4.6M views,10 months ago,0,"
              Master
            ","1990: dont sit too close to the TV its bad for your eyes
2021:","
    4.6K
  ",10 months ago,1,0,4600000,4600
31789,24,3,metaverse privacy issue,/watch?v=rtLTZUaMSDQ,Trapped in the Metaverse: Here’s What 24 Hours in VR Feels Like | WSJ,/c/wsj,4.6M views,10 months ago,0,"
              Jareth Gawain
            ","I don't fear VR being the future. However , companies like Facebook/Meta owning it all? That's pretty scary. Way to make a potentially amazing technology completely soulless and invasive.","
    4.5K
  ",9 months ago,9,0,4600000,4500
24255,1,3,metaverse privacy issue,/watch?v=jUfCr3hz9FE,Microsoft Just KILLED Zuck's Metaverse,/c/JohnCooganPlus,7.5M views,8 months ago,0,"
              David Washington
            ",This metaverse discussion is like listening to people in the 90s telling us what will be internet.,"
    4.4K
  ",7 months ago,7,0,7500000,4400
21846,1,3,metaverse privacy issue,/watch?v=bolyiGMcjBs,Why You Should Be Worried About Facebook's Metaverse | System Error,/c/VICENews,5.8M views,10 months ago,0,"
              Mopti Sevare
            ","I was addicted to technologies until I turned 42, then all of a sudden I re-discovered the immense pleasure of reading and taking time to live (drawing, cooking, being outdoors all summer long). I could not care less for any of these soul crushing experiences anymore. Seriously people, live life as it it was still 1999. You can use Google and youtube and all to educate yourself (tons of cool tutorials, documentaries on just about anything you care about) but nothing else....the rest of the time you should be unplugged. Live YOUR life, find out who YOU are, don't watch the lives of others online; nothing good can come from it.","
    4.3K
  ",8 months ago,8,0,5800000,4300
29217,54,3,metaverse privacy issue,/watch?v=RgJwPco3wew,The Metaverse could be a problem.,/c/Mrwhosetheboss,4.2M views,10 months ago,0,"
              Cambo Space and Science Edu
            ",I don't like the idea of turning human to live in a faked world. My real dog will never want me to abandon her...,"
    4.1K
  ",10 months ago,1,0,4200000,4100
21869,24,3,metaverse privacy issue,/watch?v=bolyiGMcjBs,Why You Should Be Worried About Facebook's Metaverse | System Error,/c/VICENews,5.8M views,10 months ago,0,"
              Alex Campbell
            ","The fact the youtube no longer shows dislikes is pissing me off immensely. It's really hard for people to determine whether a video is causing contention or not, which is actually important.","
    3.9K
  ",9 months ago,9,0,5800000,3900
29313,150,3,metaverse privacy issue,/watch?v=RgJwPco3wew,The Metaverse could be a problem.,/c/Mrwhosetheboss,4.2M views,10 months ago,0,"
              Hangtime Chills
            ","This is basically the books, “Ready Player One” and “Ready Player Two”.","
    3.9K
  ",10 months ago,1,0,4200000,3900
31830,65,3,metaverse privacy issue,/watch?v=rtLTZUaMSDQ,Trapped in the Metaverse: Here’s What 24 Hours in VR Feels Like | WSJ,/c/wsj,4.6M views,10 months ago,0,"
              Bambi
            ",It’s fascinating how easily people are getting sucked into this Digital Dark age of horror.,"
    3.7K
  ",10 months ago,1,0,4600000,3700
26862,2,3,metaverse privacy issue,/watch?v=kVOTPAxrrP4,MIT Has Predicted that Society Will Collapse in 2040 | Economics Explained,/c/EconomicsExplained,10M views,10 months ago,0,"
              DJ Nick
            ",The way Covid was handled is a good insight as to how screwed we are if something even more serious comes,"
    3.6K
  ",3 months ago,3,0,10000000,3600
31766,1,3,metaverse privacy issue,/watch?v=rtLTZUaMSDQ,Trapped in the Metaverse: Here’s What 24 Hours in VR Feels Like | WSJ,/c/wsj,4.6M views,10 months ago,0,"
              FEnCSERX
            ",I’m really proud of most of humanity for taking one look at this and immediately saying “How about no”,"
    3.6K
  ",8 months ago (edited),8,0,4600000,3600
26897,37,3,metaverse privacy issue,/watch?v=kVOTPAxrrP4,MIT Has Predicted that Society Will Collapse in 2040 | Economics Explained,/c/EconomicsExplained,10M views,10 months ago,0,"
              hcblue
            ","I believe we can not only achieve this ahead of schedule, but also hit all four collapses: political, social, environmental, AND economic. Boom, extra credit.","
    3.5K
  ",8 months ago,8,0,10000000,3500
31894,129,3,metaverse privacy issue,/watch?v=rtLTZUaMSDQ,Trapped in the Metaverse: Here’s What 24 Hours in VR Feels Like | WSJ,/c/wsj,4.6M views,10 months ago,0,"
              ziksarthi
            ",this is so depressing no matter how good it sounds,"
    3.5K
  ",10 months ago,1,0,4600000,3500
26921,61,3,metaverse privacy issue,/watch?v=kVOTPAxrrP4,MIT Has Predicted that Society Will Collapse in 2040 | Economics Explained,/c/EconomicsExplained,10M views,10 months ago,0,"
              new face
            ","MIT couldn’t even predict that their janitor was a genius, so my confidence is pretty minimal.","
    3.5K
  ",10 months ago,1,0,10000000,3500
21903,58,3,metaverse privacy issue,/watch?v=bolyiGMcjBs,Why You Should Be Worried About Facebook's Metaverse | System Error,/c/VICENews,5.8M views,10 months ago,0,"
              Erin L
            ","It gives me so much hope knowing how many people are against the Metaverse.
*EDIT* Also the technology itself is amazing and there isn't anything wrong with that per say. What concerns me is the person that's in charge of it all and whether or not it will eventually be forced.","
    3.4K
  ",9 months ago (edited),9,0,5800000,3400
31877,112,3,metaverse privacy issue,/watch?v=rtLTZUaMSDQ,Trapped in the Metaverse: Here’s What 24 Hours in VR Feels Like | WSJ,/c/wsj,4.6M views,10 months ago,0,"
              Divanesh Aravin
            ","How lifeless can this be!  I don't want to be living in a virtual world when I have a real one,  I really appreciate the real world more than ever now period!!!!!","
    3.3K
  ",9 months ago (edited),9,0,4600000,3300
29163,0,3,metaverse privacy issue,/watch?v=RgJwPco3wew,The Metaverse could be a problem.,/c/Mrwhosetheboss,4.2M views,10 months ago,0,"
              Abhishek Guruvannawar
            ",The world has literally started feeling like a sci-fi movie,"
    3.3K
  ",10 months ago,1,0,4200000,3300
31918,153,3,metaverse privacy issue,/watch?v=rtLTZUaMSDQ,Trapped in the Metaverse: Here’s What 24 Hours in VR Feels Like | WSJ,/c/wsj,4.6M views,10 months ago,0,"
              Blong Thao
            ","50 years from now kids will look back at this video and say "" why are these people wearing a headset. Why can't they just plug the wire into their skull."" Lol","
    3.2K
  ",10 months ago,1,0,4600000,3200
31806,41,3,metaverse privacy issue,/watch?v=rtLTZUaMSDQ,Trapped in the Metaverse: Here’s What 24 Hours in VR Feels Like | WSJ,/c/wsj,4.6M views,10 months ago,0,"
              C. MARTIN
            ",VR was a huge dream of mine as a child but now its just scary,"
    3.1K
  ",10 months ago,1,0,4600000,3100
26863,3,3,metaverse privacy issue,/watch?v=kVOTPAxrrP4,MIT Has Predicted that Society Will Collapse in 2040 | Economics Explained,/c/EconomicsExplained,10M views,10 months ago,0,"
              bitbucketcynic
            ",Never let anyone make a decision if they won't personally suffer for being wrong.,"
    3K
  ",3 months ago,3,0,10000000,3000
26975,115,3,metaverse privacy issue,/watch?v=kVOTPAxrrP4,MIT Has Predicted that Society Will Collapse in 2040 | Economics Explained,/c/EconomicsExplained,10M views,10 months ago,0,"
              TheSoundOfBand Instrumental
            ","""Here you go, have an ad.""

""What a good little consumer you are.""
I died a little.","
    2.9K
  ",9 months ago,9,0,10000000,2900
31777,12,3,metaverse privacy issue,/watch?v=rtLTZUaMSDQ,Trapped in the Metaverse: Here’s What 24 Hours in VR Feels Like | WSJ,/c/wsj,4.6M views,10 months ago,0,"
              Eden O’Reilly
            ",Just the thought of the metaverse makes me appreciate real life,"
    2.8K
  ",9 months ago,9,0,4600000,2800
36386,3,3,metaverse privacy issue,/watch?v=sWDwh5UxWMs,Sen. Durbin asks for name of Zuckerberg's hotel in privacy question,/c/CBSNews,721K views,4 years ago,4.61M subscribers,"
              Thiên Phúc Nguyễn Đình
            ","Zucc: ""No, but I can tell where you stayed last night""","
    2.8K
  ",4 years ago,48,4,721000,2800
31883,118,3,metaverse privacy issue,/watch?v=rtLTZUaMSDQ,Trapped in the Metaverse: Here’s What 24 Hours in VR Feels Like | WSJ,/c/wsj,4.6M views,10 months ago,0,"
              Ccaprice85
            ","It is comforting seeing so many people against this, but i cant help but feel this is inevitably gonna be the future, mainly the younger generations are gonna fall for this.","
    2.8K
  ",8 months ago,8,0,4600000,2800
31865,100,3,metaverse privacy issue,/watch?v=rtLTZUaMSDQ,Trapped in the Metaverse: Here’s What 24 Hours in VR Feels Like | WSJ,/c/wsj,4.6M views,10 months ago,0,"
              Mana Howe
            ",The fact that even gamers at heart are scared of this is saying something...,"
    2.8K
  ",9 months ago,9,0,4600000,2800
29379,216,3,metaverse privacy issue,/watch?v=RgJwPco3wew,The Metaverse could be a problem.,/c/Mrwhosetheboss,4.2M views,10 months ago,0,"
              Bobby Ang
            ","And in the end, we arrive at the Matrix.","
    2.7K
  ",10 months ago,1,0,4200000,2700
31888,123,3,metaverse privacy issue,/watch?v=rtLTZUaMSDQ,Trapped in the Metaverse: Here’s What 24 Hours in VR Feels Like | WSJ,/c/wsj,4.6M views,10 months ago,0,"
              Vince Sza
            ",I’m so glad I was raised before any of this social garbage took off. The best times of my life were outdoors in the real world.,"
    2.7K
  ",8 months ago,8,0,4600000,2700
29229,66,3,metaverse privacy issue,/watch?v=RgJwPco3wew,The Metaverse could be a problem.,/c/Mrwhosetheboss,4.2M views,10 months ago,0,"
              Aci
            ",I'd rather not have Facebook be the one to make this...,"
    2.7K
  ",10 months ago,1,0,4200000,2700
31924,159,3,metaverse privacy issue,/watch?v=rtLTZUaMSDQ,Trapped in the Metaverse: Here’s What 24 Hours in VR Feels Like | WSJ,/c/wsj,4.6M views,10 months ago,0,"
              Elio Cloud
            ",I believe we should be far more concerned with solving real-world problems than with creating a new virtual world that will lead to the emergence of new problems that are far more dangerous than we can imagine,"
    2.6K
  ",8 months ago,8,0,4600000,2600
31795,30,3,metaverse privacy issue,/watch?v=rtLTZUaMSDQ,Trapped in the Metaverse: Here’s What 24 Hours in VR Feels Like | WSJ,/c/wsj,4.6M views,10 months ago,0,"
              me am me
            ",no matter how well you put the metaverse its always gonna be creepy and depressing,"
    2.5K
  ",9 months ago,9,0,4600000,2500
26865,5,3,metaverse privacy issue,/watch?v=kVOTPAxrrP4,MIT Has Predicted that Society Will Collapse in 2040 | Economics Explained,/c/EconomicsExplained,10M views,10 months ago,0,"
              it's bleak
            ",“It’s easier to imagine the end of the world than the end of capitalism.” Mark Fisher,"
    2.5K
  ",3 months ago (edited),3,0,10000000,2500
21920,75,3,metaverse privacy issue,/watch?v=bolyiGMcjBs,Why You Should Be Worried About Facebook's Metaverse | System Error,/c/VICENews,5.8M views,10 months ago,0,"
              Clayton Canny
            ",Love how nobody's mentioning how easy it is for middle aged men to groom children over social media and the companies do nothing to stop it.,"
    2.4K
  ",9 months ago,9,0,5800000,2400
26891,31,3,metaverse privacy issue,/watch?v=kVOTPAxrrP4,MIT Has Predicted that Society Will Collapse in 2040 | Economics Explained,/c/EconomicsExplained,10M views,10 months ago,0,"
              shmeckal_ 7
            ",The biggest problem with humanity is the fact that we typically tend to be more reactive then proactive we wait until the last minute to fix big problems that could have been solved a long time ago,"
    2.4K
  ",10 months ago (edited),1,0,10000000,2400
29193,30,3,metaverse privacy issue,/watch?v=RgJwPco3wew,The Metaverse could be a problem.,/c/Mrwhosetheboss,4.2M views,10 months ago,0,"
              No One
            ","Imagine how empty people feel after leaving the meta world and being back in reality. Society will get more and more lost in the circle of dopamine addiction, creating brain dead people and increasing the development of depression","
    2.4K
  ",10 months ago,1,0,4200000,2400
24285,31,3,metaverse privacy issue,/watch?v=jUfCr3hz9FE,Microsoft Just KILLED Zuck's Metaverse,/c/JohnCooganPlus,7.5M views,8 months ago,0,"
              The Hammer Speaks
            ",I just can’t wait to immerse myself in the metaverse and have Meta and Microsoft harvest all my data.,"
    2.3K
  ",7 months ago,7,0,7500000,2300
32029,264,3,metaverse privacy issue,/watch?v=rtLTZUaMSDQ,Trapped in the Metaverse: Here’s What 24 Hours in VR Feels Like | WSJ,/c/wsj,4.6M views,10 months ago,0,"
              ibanda ivan
            ","In the end, everyone will end up lonely when the headset comes off!!","
    2.3K
  ",10 months ago,1,0,4600000,2300
26993,133,3,metaverse privacy issue,/watch?v=kVOTPAxrrP4,MIT Has Predicted that Society Will Collapse in 2040 | Economics Explained,/c/EconomicsExplained,10M views,10 months ago,0,"
              Michael McGrath
            ","I was 20 when the Limits to Growth was published. I really did not expect our civilisation to endure until today. I am constantly gobsmacked at how résiliant and innovative humans are, but I’m not encouraged by the general ambivalence and ignorance of our world “leaders”. I’ll be ninety by 2040, if I’m lucky. I’m much more concerned for my children and grandchildren’s future. As they say, “There is no planet B.”","
    2.3K
  ",9 months ago,9,0,10000000,2300
31853,88,3,metaverse privacy issue,/watch?v=rtLTZUaMSDQ,Trapped in the Metaverse: Here’s What 24 Hours in VR Feels Like | WSJ,/c/wsj,4.6M views,10 months ago,0,"
              Al_Alemania
            ",I'm glad that everyone else is also feeling off put with this man,"
    2.2K
  ",10 months ago,1,0,4600000,2200
30564,1401,3,metaverse privacy issue,/watch?v=RgJwPco3wew,The Metaverse could be a problem.,/c/Mrwhosetheboss,4.2M views,10 months ago,0,"
              Debo Gaming
            ",The world has literally started feeling like a sci-fi movie,"
    2.2K
  ",10 months ago,1,0,4200000,2200
26957,97,3,metaverse privacy issue,/watch?v=kVOTPAxrrP4,MIT Has Predicted that Society Will Collapse in 2040 | Economics Explained,/c/EconomicsExplained,10M views,10 months ago,0,"
              Matt Greene
            ","There's a book called Fates Of Empires by Sir John Glubb in which he studied lots of failed societies, and found a pattern. We're just following along the cycle he discovered. One reason he mentions for this that the OP didn't mention....was that history is not truthfully taught. Since we constantly revise history, we can't escape the cycle.","
    2.2K
  ",8 months ago,8,0,10000000,2200
21989,144,3,metaverse privacy issue,/watch?v=bolyiGMcjBs,Why You Should Be Worried About Facebook's Metaverse | System Error,/c/VICENews,5.8M views,10 months ago,0,"
              Rio Bird
            ",It’s funny how everyone is so concerned about the meta but can’t bring themselves to closing their fb account.,"
    2.2K
  ",9 months ago,9,0,5800000,2200
27107,247,3,metaverse privacy issue,/watch?v=kVOTPAxrrP4,MIT Has Predicted that Society Will Collapse in 2040 | Economics Explained,/c/EconomicsExplained,10M views,10 months ago,0,"
              Fantasy Football
            ","For anyone worried about this report, please keep in mind that data models cant even predict a days worth of weather accurately. Society is a much more complex model with so many moving parts that are influenced by human emotions (unlike the weather). As someone who works in data science, I highly suggest you to take any long term prediction with a grain of salt. We make very very specific data models to price products based on a small set of data points and most of them blow up as soon as they come into contact with real world data. Alarmism sells, nobody would care about a report which doesn't predict a catastrophe.","
    2.1K
  ",10 months ago,1,0,10000000,2100
24261,7,3,metaverse privacy issue,/watch?v=jUfCr3hz9FE,Microsoft Just KILLED Zuck's Metaverse,/c/JohnCooganPlus,7.5M views,8 months ago,0,"
              oliver monks
            ","Problem is that Facebook has messed up too many times, the leaks, the intrusive hidden programs watching us even when not on facebook, the censorship, no one wants them to have control. I hope meta dies off.","
    2.1K
  ",7 months ago,7,0,7500000,2100
31912,147,3,metaverse privacy issue,/watch?v=rtLTZUaMSDQ,Trapped in the Metaverse: Here’s What 24 Hours in VR Feels Like | WSJ,/c/wsj,4.6M views,10 months ago,0,"
              liquid79
            ",I feel sorry for the children of our future.,"
    2.1K
  ",10 months ago,1,0,4600000,2100
29164,1,3,metaverse privacy issue,/watch?v=RgJwPco3wew,The Metaverse could be a problem.,/c/Mrwhosetheboss,4.2M views,10 months ago,0,"
              Humzz15
            ",The fact that many people are against this gives me hope.,"
    2.1K
  ",7 months ago,7,0,4200000,2100
31948,183,3,metaverse privacy issue,/watch?v=rtLTZUaMSDQ,Trapped in the Metaverse: Here’s What 24 Hours in VR Feels Like | WSJ,/c/wsj,4.6M views,10 months ago,0,"
              INVISIGOTH
            ","One time I played VR all day, then I took it off my head and had dinner with someone (in real life) then later I looked at my face and I had huge mask lines imprinted all over my face on my forehead and cheeks and everywhere, i was so embarrassed but the other person didn't say anything","
    2.1K
  ",10 months ago,1,0,4600000,2100
29181,18,3,metaverse privacy issue,/watch?v=RgJwPco3wew,The Metaverse could be a problem.,/c/Mrwhosetheboss,4.2M views,10 months ago,0,"
              John Olswang
            ",Nice to see such a trustworthy company tapping into your perceived reality what could go wrong.,"
    2K
  ",10 months ago,1,0,4200000,2000
32617,852,3,metaverse privacy issue,/watch?v=rtLTZUaMSDQ,Trapped in the Metaverse: Here’s What 24 Hours in VR Feels Like | WSJ,/c/wsj,4.6M views,10 months ago,0,"
              DG
            ","If this is mankind’s future, I don’t want it.","
    2K
  ",10 months ago,1,0,4600000,2000
21953,108,3,metaverse privacy issue,/watch?v=bolyiGMcjBs,Why You Should Be Worried About Facebook's Metaverse | System Error,/c/VICENews,5.8M views,10 months ago,0,"
              tentimetex
            ","Just so people understand: in the metaverse (which is just a glamorous name for VR), we move our bodies and heads. This data about why, when and how we move and how we react, can then be used by governments in the real world, through surveillance cameras for example, by pairing it with Artificial Intelligence, to predict how we will behave even before we have taken the decision to do something. It is absolutely terrifying.","
    1.9K
  ",9 months ago,9,0,5800000,1900
